"Time","C1_39.05nM","C2_78.12nM","C3_156.2nM","C4_312.5nM","C5_625nM","C6_1250nM","C7_2500nM","C8_5000nM"
-59.96,0.154266,0.201508,0.178253,0.0628052,0.124329,0.117567,-0.0395813,-0.19574
-59.86,0.114441,0.0648063,0.138428,0.058123,-0.0151062,-0.0531311,-0.105164,-0.330488
-59.76,-0.128523,-0.0598145,-0.0862122,0.0565796,-0.155731,-0.167189,-0.201294,-0.423859
-59.66,-0.31604,-0.145355,-0.227234,0.0335083,-0.204956,-0.209015,-0.20636,-0.452362
-59.56,-0.199646,-0.144607,-0.292099,0.00929296,-0.174896,-0.155487,-0.209518,-0.330124
-59.46,-0.102783,-0.0820923,-0.234253,0.0151672,-0.116302,-0.0566775,-0.182922,-0.16684
-59.36,-0.0339966,-0.0512021,-0.174469,0.00464505,-0.0815125,-0.0140686,-0.153625,-0.108606
-59.26,-0.0332396,-0.0762024,-0.123322,-0.0219421,-0.0862122,-0.0515807,-0.157532,-0.13089
-59.16,0.023407,-0.0429993,-0.0889282,-0.0113831,-0.0721436,-0.046875,-0.13916,-0.0925903
-59.06,0.0202637,-0.0406733,-0.098321,0.00736141,-0.0670776,-0.0222778,-0.143853,-0.0656672
-58.96,0.023407,-0.0410461,-0.0975342,0.0124207,-0.0647278,-0.00860995,-0.134094,-0.0488586
-58.86,0.0448914,-0.0375631,-0.0838623,0.0104715,-0.0327148,-0.0152588,-0.125916,-0.0172079
-58.76,0.0605159,-0.0351868,-0.0877686,0.00149536,-0.0401001,-0.0203252,-0.123535,0.0101318
-58.66,0.101166,-0.0359802,-0.0760498,0.0245667,-0.0264282,-0.0234375,-0.105164,0.053894
-58.56,0.130035,-0.0426316,-0.0760484,0.0221877,-0.0327148,-0.0183716,-0.10443,0.10193
-58.46,0.142548,-0.0527649,-0.072937,0.0151672,-0.0174561,-0.0136734,-0.0922852,0.123413
-58.36,0.156219,-0.0672287,-0.068634,0.0229812,-0.0108032,-0.0211182,-0.0919189,0.113649
-58.26,0.160918,-0.0543518,-0.0514526,0.0569763,0.0106812,-0.0105603,-0.0774536,0.123413
-58.16,0.155426,-0.0527649,-0.0322876,0.0679016,0.0130005,-0.00665283,-0.0786133,0.110901
-58.06,0.126129,-0.0508088,-0.0108002,0.058139,0.00793457,-0.0164185,-0.102841,0.0812408
-57.96,0.0749817,-0.0730896,-0.010437,0.0288391,-0.00689697,-0.0554835,-0.122375,0.0374756
-57.86,0.0636292,-0.0895056,-0.0057373,0.0272547,-0.00341797,-0.0750122,-0.143494,0.0261256
-57.76,0.069488,-0.0848083,-0.010437,0.0296326,-0.0010376,-0.0867314,-0.157532,0.0159912
-57.66,0.0679626,-0.070343,-0.0127563,0.0433044,0.0177002,-0.0898438,-0.163757,0.00115967
-57.56,0.0491638,-0.0649095,0.00402975,0.0467849,0.0305786,-0.0992432,-0.174742,-0.012938
-57.46,0.0273132,-0.0769958,-0.0135498,0.0315857,0.0321655,-0.12073,-0.189941,-0.0476685
-57.36,0.0108948,-0.0719274,-0.0397339,0.0444666,0.0227661,-0.132446,-0.191528,-0.0687841
-57.26,0.000759959,-0.0918274,-0.0514526,0.0386047,0.00793457,-0.149234,-0.204407,-0.0933838
-57.16,-0.0117493,-0.094574,-0.069397,0.0190735,-0.0115967,-0.152344,-0.216125,-0.109802
-57.06,-0.0265808,-0.104337,-0.0760475,0.00931013,-0.0213623,-0.147278,-0.219236,-0.110166
-56.96,-0.0359802,-0.130524,-0.0807495,-0.019989,-0.0506592,-0.157046,-0.238403,-0.124634
-56.86,-0.0594177,-0.142606,-0.0877686,-0.0383577,-0.0690308,-0.165649,-0.254028,-0.150815
-56.76,-0.0726626,-0.145355,-0.0939941,-0.0563049,-0.0822754,-0.164063,-0.252441,-0.16095
-56.66,-0.0738831,-0.157074,-0.0952148,-0.0696106,-0.0737305,-0.165649,-0.24231,-0.152771
-56.56,-0.0726624,-0.157074,-0.110413,-0.0680236,-0.069397,-0.161316,-0.242676,-0.138672
-56.46,-0.0719299,-0.150055,-0.110046,-0.0743103,-0.0623779,-0.144164,-0.227844,-0.111755
-56.36,-0.0722961,-0.161774,-0.117065,-0.0797431,-0.057312,-0.134766,-0.216125,-0.107056
-56.26,-0.0871276,-0.16214,-0.105713,-0.0875549,-0.0674438,-0.123047,-0.211426,-0.102356
-56.16,-0.0934143,-0.176605,-0.119415,-0.0989075,-0.0834961,-0.109802,-0.201294,-0.106689
-56.06,-0.0941467,-0.166841,-0.117433,-0.0844436,-0.0842285,-0.0957031,-0.191896,-0.107423
-55.96,-0.0836487,-0.161774,-0.110046,-0.0860291,-0.0787964,-0.0886841,-0.171997,-0.10199
-55.86,-0.0941467,-0.164093,-0.112366,-0.0934142,-0.0791626,-0.0984497,-0.180176,-0.0925903
-55.76,-0.0918278,-0.152374,-0.105347,-0.0730896,-0.0623779,-0.0890507,-0.17041,-0.0855713
-55.66,-0.0867615,-0.148468,-0.108459,-0.07547,-0.0752563,-0.0945435,-0.173157,-0.0906372
-55.56,-0.0937805,-0.154755,-0.114747,-0.0871892,-0.081543,-0.0914307,-0.170044,-0.0754399
-55.46,-0.0840149,-0.157074,-0.124878,-0.0875549,-0.0967407,-0.0867302,-0.170044,-0.0679932
-55.36,-0.0840149,-0.152375,-0.129944,-0.0922554,-0.10144,-0.0691528,-0.172363,-0.066407
-55.26,-0.0762017,-0.137177,-0.139343,-0.0922546,-0.10144,-0.0445549,-0.152466,-0.0559082
-55.16,-0.0691833,-0.137543,-0.142456,-0.0820923,-0.10144,-0.0300903,-0.147766,-0.0613403
-55.06,-0.0746155,-0.140656,-0.149476,-0.0895088,-0.103394,-0.0253906,-0.143067,-0.054322
-54.96,-0.0722961,-0.137543,-0.124878,-0.10202,-0.0791626,-0.000790477,-0.111816,-0.0543213
-54.86,-0.0644836,-0.118014,-0.110046,-0.13016,-0.0428467,0.0187378,-0.0919189,-0.0512115
-54.76,-0.054715,-0.111359,-0.121765,-0.137177,-0.0299683,0.0206939,-0.0922852,-0.0418091
-54.66,-0.0351868,-0.101227,-0.117065,-0.130524,-0.0057373,0.0285034,-0.0704346,-0.0269775
-54.56,-0.023468,-0.121126,-0.128786,-0.149691,0.00598145,0.0324097,-0.0688494,-0.0199603
-54.46,-0.0379333,-0.13559,-0.124084,-0.169586,0.00598145,0.0159919,-0.0782471,-0.0203247
-54.36,-0.054718,-0.140656,-0.112366,-0.179353,0.0153809,0.0253906,-0.0708008,-0.0203254
-54.26,-0.0613686,-0.137177,-0.0991211,-0.163361,0.0356445,0.0324119,-0.0509033,-0.00512695
-54.16,-0.0566711,-0.123077,-0.0752563,-0.114899,0.0548096,0.0374756,-0.0411377,-0.000793457
-54.06,-0.0500183,-0.116059,-0.0635386,-0.0641184,0.0661621,0.0371094,-0.0348521,-0.00354105
-53.96,-0.0500183,-0.111359,-0.053772,-0.0231018,0.0762939,0.0292976,-0.0391846,-0.0101929
-53.86,-0.0332336,-0.101228,-0.0221558,0.0190727,0.107544,0.0249634,-0.0442505,-0.0152596
-53.76,-0.015656,-0.0906677,0.00482178,0.0823669,0.115356,0.0226436,-0.036438,-0.00238037
